ip,port,protocol,url
210.21.82.248,8888,http,http://210.21.82.248:8888
210.21.82.248,1099,java-rmi,
210.21.82.248,1234,telnet,
210.21.82.248,123,unknown,
210.21.82.248,8082,http,http://210.21.82.248:8082
210.21.82.248,8443,https,https://210.21.82.248:8443
210.21.82.248,5432,postgres,
210.21.82.248,137,netbios,
121.11.76.30,49153,dcerpc,
121.11.76.30,8443,https,https://121.11.76.30:8443
121.11.76.30,47001,http,http://121.11.76.30:47001
121.11.76.30,1099,java-rmi,
121.11.76.30,139,netbios-ssn,
121.11.76.30,1025,dcerpc,
121.11.76.30,22,ssh,
121.11.76.30,49152,dcerpc,
121.11.76.30,49154,dcerpc,
121.11.76.30,5432,postgres,
121.11.76.30,49156,dcerpc,
121.11.76.30,135,dcerpc,
121.11.76.30,49161,dcerpc,
121.11.76.30,3389,rdp,
121.11.76.30,80,http,http://121.11.76.30:80
121.11.76.30,123,unknown,
121.11.76.30,49155,dcerpc,
121.11.76.30,2121,ftp,
121.11.76.30,49157,dcerpc,
121.11.76.30,873,rsync,
121.11.76.30,8080,http,http://121.11.76.30:8080
121.11.76.30,137,netbios,
121.11.76.30,21,ftp,
